P%,GF/GP,GA/GP,Net PP%,Net PK%,Shots/GP,SA/GP,WinStanleyCup
0.437,2.68,3.35,11.4,82.6,30.6,33.6,0
0.378,2.33,3.17,13.8,79.4,26.7,31.7,0
0.388,3.35,4.01,17.1,76.9,31.2,32.1,0
0.378,2.41,3.39,15.2,81.7,31.2,32.7,0
0.378,2.35,3.37,14.7,78.5,28.4,30,0
0.388,3.15,3.69,21.1,81,28.4,28.3,0
0.635,3.77,3.29,17.2,83.4,29.2,32.9,0
0.381,3.31,4.06,20.6,74.6,30.4,30.8,0
0.635,3.71,2.81,15.5,83.3,29.4,28.3,0
0.381,3.36,4.28,18.5,81.9,28.5,32.6,0
0.372,2.85,3.66,12.9,86.7,29.6,29.6,0
0.372,2.41,3.34,15.3,83.1,28.9,33.5,0
0.381,3.79,4.84,19.8,76.2,29.4,35.4,0
0.381,3.1,3.91,17.8,75,27.3,32.6,0
0.372,2.09,2.93,11.7,83.4,29.4,28.4,0
0.625,2.58,2.38,16.1,86.7,27.8,24.2,0
0.625,3.13,2.75,15.2,81.9,27.4,26.9,0
0.357,2.88,4.01,13.5,80.8,27.9,33.8,0
0.375,2.79,3.63,12.3,80.5,27.1,31.2,0
0.366,2.57,3.52,11.7,80.2,27.9,32.4,0
0.366,2.2,3.05,12.6,82.7,26.9,32.5,0
0.375,3.65,4.65,14,79.6,28.8,35.4,0
0.375,3.3,4.39,20.3,74.3,31.1,34.1,0
0.369,3.75,4.68,18.2,75.5,29.2,31.2,0
0.615,2.73,2.38,19.3,84.5,29.8,25,0
0.369,3.69,4.65,16.3,78.8,31.8,29.9,0
0.615,2.54,2.4,13.9,85.2,28.1,28.9,0
0.369,3.55,5.01,15,73.2,31.2,33.3,0
0.369,3.4,4,14.5,81.9,28.8,30.5,0
0.36,2.45,3.41,9.9,85.1,24.6,31.2,0
0.369,3.53,4.16,17.2,81.9,29.5,30.2,0
0.369,3.86,4.7,16.1,75.5,30.9,31.7,0
0.36,2.27,3.09,17.7,82.3,23.7,31.5,0
0.36,2.29,3.16,11.8,84.8,29.3,30.7,0
0.369,3.21,3.81,20.1,79.8,30,31.6,0
0.345,3.38,4.39,14.4,80.7,26.1,34.1,0
0.354,2.37,2.98,13.8,85.7,26.3,28.4,0
0.354,2.37,3.35,11.6,81.9,26.2,33.4,0
0.354,2.32,3.7,13.9,79.1,24.7,33.2,0
0.354,2.34,3.15,13.4,86.7,23.7,29.4,0
0.354,2.96,3.78,15.8,81.2,28,33.2,0
0.594,3.04,2.71,24.4,79.8,28.1,32.3,0
0.594,3.13,2.65,19.9,88.5,34.4,24.3,0
0.594,3.02,2.67,16.3,88.5,26.3,32.3,0
0.594,2.42,2.33,17.8,87.1,31.8,29,0
0.356,3.89,4.83,15.3,79.2,31.3,34.7,0
0.339,2.92,4.1,15.4,82.5,29.4,33.3,0
0.356,3.01,3.98,15.9,81.8,29.3,32.2,0
0.356,3.23,4.3,18.9,77,29.6,29.3,0
0.356,2.88,4.06,12.2,75.4,26.7,32.8,0
0.348,2,3.11,11.8,84,25,30.1,0
0.348,2.35,3.46,13.1,83.5,28.5,30.6,0
0.356,3.29,4.3,10.5,75,29.6,29,0
0.356,2.99,4,19.9,72.8,25.7,30.8,0
0.583,2.63,2.25,13.1,84.5,30.9,28.2,0
0.583,2.33,2.08,15.3,89.2,33.1,31.3,0
0.341,2.01,3.26,17,78.1,29.2,33.2,0
0.583,2.54,2.29,15.7,83.5,30.1,27.5,0
0.341,2.6,3.62,10.4,88.1,28.8,32.6,0
0.35,3.73,4.75,18.2,75.8,29.1,34.7,0
0.35,3.15,4.24,15.2,76.3,30.9,30,0
0.573,2.46,2.6,17.9,81.5,28.8,27.1,0
0.573,2.4,2.4,12.9,84.7,26.7,29.9,0
0.573,3.4,2.81,17.1,88,30.2,29.3,0
0.573,2.81,2.83,19.9,81.7,30.9,28.2,0
0.338,3.55,4.86,13.5,74.4,30.3,32.6,0
0.329,1.87,3.28,9.8,77.8,24.2,35.6,0
0.329,2.79,3.84,14.8,80.2,28.2,32,0
0.338,3.3,4.33,16.1,79.6,29.7,29.9,0
0.338,3.38,4.39,14.1,77,33.4,28.2,0
0.329,2.49,3.78,12.1,83,25.4,30.4,0
0.329,2.28,3.51,8.2,82.7,24.2,35.5,0
0.331,3.45,4.81,11.1,78.3,28.1,37,0
0.552,3.25,2.4,23.1,87.3,30.1,24.9,0
0.315,2.92,3.95,14.6,76.5,30.2,30.4,0
0.331,2.44,3.8,15.6,74.4,27.8,29.8,0
0.542,2.83,2.52,11.6,83.2,30.1,25.4,1
0.542,2.83,2.5,19,90.5,28.9,24.8,0
0.317,1.83,2.96,12.1,83.2,26.3,34.3,0
0.317,2.26,3.27,9.6,84.3,27.5,29,0
0.325,3.41,4.31,13,80.7,30.1,34,0
0.325,3.19,3.98,13.5,82,27.3,31.8,0
0.531,2.63,2.94,11.7,80.4,28.9,29.7,0
0.531,2.71,2.48,15.7,91.4,26.6,30.4,0
0.531,2.52,2.6,13.6,81.1,30.9,30.6,0
0.319,2.68,3.93,15.8,78.6,28.3,31.7,0
0.319,3.03,4.36,14.4,77.3,31,33.4,0
0.319,2.93,3.85,17,79.9,29.4,28.6,0
0.521,2.81,3.04,14.7,87.6,31.7,31.9,0
0.51,2.75,2.9,19.9,87,29,28.6,0
0.306,3.01,4.53,10.3,78.4,26.3,33.8,0
0.5,2.67,2.94,15.2,82.1,26.3,31,0
0.293,2.01,3.37,11.7,78.5,28.1,31.7,0
0.5,2.46,2.9,9.8,83.2,27.9,33.5,0
0.3,3.16,4.48,16.3,78.9,29.1,32.9,0
0.5,2.29,2.54,11.9,87.6,28.4,23.1,0
0.5,3.19,3.08,15.6,86.4,32.9,29.6,0
0.3,3.11,4.35,14.4,75.7,26.6,31.6,0
0.3,2.44,4.01,7,72.2,25,31.3,0
0.3,2.88,4.23,18.2,75.8,25.7,32.1,0
0.49,2.9,2.79,18.5,86.3,31.9,26.3,0
0.287,3.07,4.35,10.9,80.4,26.1,33.1,0
0.287,2.18,3.56,10.7,85.3,26,32.1,0
0.479,2.4,2.65,10.4,83.8,24.8,28.5,0
0.288,2.95,4.43,12.2,76.1,25.4,35.8,0
0.469,2.56,2.73,19.5,85.7,26.8,32.8,0
0.281,3.26,5.04,15.6,77.5,28.6,35.9,0
0.281,3.21,4.93,18.3,73.2,30.2,32.7,0
0.281,2.73,4.06,11.6,73,28.8,31.5,0
0.268,1.84,3.28,4.8,85.1,25.6,29,0
0.448,2.65,2.94,13.8,81.6,29.8,30.7,0
0.448,2.6,3.08,14.5,81.2,28.7,31.9,0
0.438,2.69,3.35,9.4,84.1,24,31.6,0
0.438,2.65,3.31,12.1,80.1,32.2,32.2,0
0.438,2.67,3.27,18.7,85.4,26.9,29.4,0
0.438,2.83,2.81,12.9,86.2,31.7,28.9,0
0.263,2.63,4.14,21,74.4,27.3,31,0
0.25,2.33,3.55,9.1,79.5,26.9,30.5,0
0.256,2.89,4.38,10.7,76.8,26.4,32,0
0.427,2.27,2.77,14.3,76.3,25.9,27.8,0
0.427,2.96,3.63,13.5,83.3,30.1,34.8,0
0.417,3.06,3.06,16.6,80.7,27.6,30.2,0
0.25,3.33,5.19,18,73.1,28.5,32.9,0
0.244,2.74,4.49,12.6,80.8,29.3,36.3,0
0.275,2,3.73,8.8,76.1,27.1,32.8,0
0.406,3.27,3.69,16.4,86,29.8,32.2,0
0.406,2.38,3.13,12.9,82,29.5,31.4,0
0.238,2.07,3.82,8.9,81.9,25.8,31,0
0.732,3.39,2.18,16.7,89.6,32.7,27.3,0
0.732,3.52,2.36,21.3,83.6,34.6,25.4,0
0.714,3.13,2.39,22,89.2,32,28.2,0
0.705,3.36,2.7,18.4,82.1,34.9,30,0
0.688,3.45,2.77,21.1,81.3,30.1,30,0
0.688,3.36,2.88,19.6,85.2,29.4,28.8,0
0.688,3.32,2.64,15.5,80.6,31.3,27.8,0
0.67,3.21,2.59,20.6,85.8,30.2,28.3,1
0.67,3.21,2.84,15.8,82,28.3,30.4,0
0.652,2.93,2.39,18.1,91,33.3,27.1,0
0.643,3.27,2.75,25.3,83.8,29.9,30.7,0
0.634,2.71,2.23,18.8,86.7,29,28.4,0
0.571,2.7,2.75,16.4,79.1,30,31.3,0
0.563,3.04,2.71,21.1,82.6,29.7,30.6,0
0.563,2.98,2.98,22.6,81.3,29,29.8,0
0.536,3.14,2.77,18.4,87,28.7,29.7,0
0.536,2.79,2.64,21,81.1,30.3,27.1,0
0.527,2.82,2.95,17.9,83.7,31.2,28.2,0
0.518,2.86,3.52,15.6,73.7,30.2,29.2,0
0.491,2.77,2.86,14.3,81.4,30.2,28.2,0
0.491,2.84,3.29,17.7,78.8,29.2,33.7,0
0.482,2.68,3.11,18.5,82,27.5,30.5,0
0.455,2.77,3.38,12.6,83,29.7,32.1,0
0.446,2.64,3.34,14.8,83.1,29.1,33.4,0
0.438,2.54,3.02,17.2,85.5,28.3,31.2,0
0.438,2.61,3.5,11.5,83.2,30,32,0
0.429,2.23,3,8.7,78.7,27.3,31.9,0
0.429,2.39,3.29,13.7,83.5,29,32.4,0
0.402,2.59,3.38,11,73,28.8,31,0
0.384,2.21,3.16,4.9,81.1,26.8,30.6,0
0.33,2.39,3.5,17.5,81.3,28.4,33.7,0
