P%,GF/GP,GA/GP,Net PP%,Net PK%,Shots/GP,SA/GP,WinStanleyCup
0.575,4.11,3.73,23.1,82.8,27.1,33.2,0
0.561,2.5,2.22,13.2,89.1,27.5,25.9,0
0.561,3.07,2.78,17.7,84.8,27.9,26.3,0
0.561,2.82,2.8,12.4,86.3,28,27.4,0
0.569,4.7,4.19,17.4,85.7,31.6,33.7,0
0.555,2.9,2.87,21,81.3,30.3,30.5,0
0.569,4.04,3.44,17,81.8,30.5,27.6,0
0.555,2.95,2.79,19.6,83.9,30.5,31.4,0
0.555,2.77,2.73,12,87.5,29.6,29.8,0
0.569,3.95,3.65,20,77.6,30.9,27.8,0
0.542,3.21,3.37,17.1,85.6,30.6,35.1,0
0.555,2.82,2.85,14.2,83.8,30.7,33.2,0
0.555,2.82,2.72,14.1,84.4,31.7,30.4,0
0.555,3.1,3.2,15,79.2,32.7,28.4,0
0.555,3.44,3.28,16.8,84.2,34.6,26.9,0
0.555,2.39,2.33,15.1,88.6,31.7,29.8,0
0.569,3.51,3.09,21.9,79.8,27.7,30,1
0.555,2.7,2.37,16.4,86.3,27.2,26.4,0
0.555,2.61,2.21,15.2,90.2,27.6,27.1,0
0.555,2.33,2.41,14.7,86.5,27.1,25.6,0
0.555,2.89,2.56,15.2,88.6,28.5,27.4,0
0.555,2.63,2.65,15,85.8,27.2,28.5,0
0.555,2.41,2.6,13.8,80.4,30.7,29.6,0
0.555,2.52,2.13,11.6,87.7,26.2,30,0
0.555,2.65,2.65,13.3,84.9,28.6,27,0
0.549,2.91,3.06,21.2,87.6,29.6,32.7,0
0.652,3.42,3.07,15.3,85.1,32,30.2,0
0.549,3.1,3.21,19,82.9,28.3,30.6,0
0.549,3.37,3.29,17.1,81.9,30.8,30.3,0
0.563,4.09,3.5,21.3,82.8,28.3,29.4,0
0.549,3.23,3.02,16.3,86.1,28.8,32.4,0
0.549,2.45,2.48,15.3,84.9,28.7,28.9,0
0.549,2.66,2.66,15,88.9,29.8,30.2,0
0.549,2.55,2.72,14.2,86.3,27.9,33.2,0
0.549,2.5,2.4,10.5,89.4,29.2,27.4,0
0.549,3.06,2.84,15.9,85.9,30.2,28.4,0
0.549,2.83,2.78,9.7,90.5,27,28.5,0
0.563,4.09,3.55,19.9,79.5,29.4,33.2,0
0.563,3.94,3.54,19.2,85.6,28.2,29.1,1
0.549,2.95,2.74,14.1,84.8,25.5,26,0
0.563,3.63,2.96,22.5,85.4,28.9,23.8,0
0.549,2.74,2.79,19.9,83.8,29.4,33.5,0
0.549,3.15,2.98,20.3,82,32.6,31.9,0
0.549,2.43,2.65,15.4,85.5,27.5,30.8,0
0.549,2.83,2.52,13.5,85.5,27.8,27.4,0
0.549,2.91,2.9,14.4,84,29.7,25.9,0
0.549,2.62,2.6,14.9,83.7,28.5,26,0
0.549,2.61,2.59,14.9,87.3,25.1,29.6,0
0.543,2.77,3.02,19.7,81.9,28.9,33.4,0
